Id,Latitude,Longitude,On street,Zipcode,Installation Date
26603,40.7927733,-73.9473013,E 106th St,10029,11/03/2023
26600,40.7717289,-73.9574310,E 76th St,10021,09/22/2023
26594,40.7172336,-73.9860819,Clinton Street,10002,11/15/2024
26580,40.7679195,-73.9602078,East 70th Street,10021,08/21/2023
26530,40.7716580,-73.9550230,E 77 St,10075,12/13/2023
26518,40.7739347,-73.9502948,E 82 Street,10028,01/03/2024
26514,40.7715019,-73.9487185,E 80 St,10075,06/30/2023
26506,40.8049154,-73.9623133,Amsterdam Ave,10025,11/09/2023
26482,40.7747859,-73.9464082,E 85th St,10028,12/19/2023
26473,40.7780079,-73.9442728,E 90th Street,10028,01/03/2024
26165,40.7292013,-73.9735023,East 16th Street,10009,11/15/2024
26163,40.7264553,-73.9741166,Avenue D,10009,01/03/2024
26065,40.7523147,-73.9675614,1st Avenue,10017,03/21/2025
26051,40.7152022,-74.0084112,Chambers Street,10013,04/08/2022
25904,40.7968441,-73.9719190,WEST END AVENUE,10025,12/14/2023
25902,40.8418268,-73.9413786,WEST 168 STREET,10032,08/18/2023
25901,40.8220121,-73.9458546,ST NICHOLAS AVENUE,10031,02/05/2024
25899,40.7942659,-73.9685975,WEST 97 STREET,10025,05/13/2023
25891,40.7978974,-73.9359708,EAST 118 STREET,10035,05/04/2023
25890,40.8092460,-73.9509584,WEST 124 STREET,10027,04/12/2023
25882,40.7600138,-73.9667258,EAST 57 STREET,10022,09/28/2023
25868,40.8285562,-73.9415927,ST NICHOLAS PLACE,10031,06/21/2023
25864,40.7880659,-73.9413574,1 AVENUE,10029,06/16/2023
25842,40.7879271,-73.9382843,EAST 105 STREET,10029,04/21/2023
25834,40.7669254,-73.9519752,EAST 73 STREET,10021,06/20/2023
25813,40.7594355,-73.9694947,EAST 55 STREET,10022,12/01/2023
25810,40.7791401,-73.9535984,3 AVENUE,10028,07/28/2023
25807,40.8632417,-73.9237930,POST AVENUE,10034,12/13/2023
25800,40.7887038,-73.9743962,AMSTERDAM AVENUE,10024,05/26/2023
